,sort_up_to,pocket,auroc,model,seed
159,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,7
160,0,1BYJ_A_GE3_30,0.7011795543905636,rdock,8
161,1,1BYJ_A_GE3_30,0.7011795543905636,rdock,8
162,2,1BYJ_A_GE3_30,0.7011795543905636,rdock,8
163,3,1BYJ_A_GE3_30,0.7011795543905636,rdock,8
164,4,1BYJ_A_GE3_30,0.7011795543905636,rdock,8
165,5,1BYJ_A_GE3_30,0.7011795543905636,rdock,8
166,6,1BYJ_A_GE3_30,0.9685452162516383,rdock,8
167,7,1BYJ_A_GE3_30,0.9659239842726082,rdock,8
168,8,1BYJ_A_GE3_30,0.963302752293578,rdock,8
169,9,1BYJ_A_GE3_30,0.9619921363040629,rdock,8
170,10,1BYJ_A_GE3_30,0.9567496723460026,rdock,8
171,11,1BYJ_A_GE3_30,0.9488859764089121,rdock,8
172,12,1BYJ_A_GE3_30,0.9423328964613368,rdock,8
173,13,1BYJ_A_GE3_30,0.9370904325032765,rdock,8
174,14,1BYJ_A_GE3_30,0.9318479685452162,rdock,8
175,15,1BYJ_A_GE3_30,0.9252948885976409,rdock,8
176,16,1BYJ_A_GE3_30,0.9213630406290957,rdock,8
177,17,1BYJ_A_GE3_30,0.9148099606815203,rdock,8
178,18,1BYJ_A_GE3_30,0.908256880733945,rdock,8
179,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,8
180,0,1BYJ_A_GE3_30,0.9239842726081258,rdock,9
181,1,1BYJ_A_GE3_30,0.9239842726081258,rdock,9
